|question|ps_0|ps_1|ps_2|right_answer_id
1783|Насколько далеко друг от друга жили Ох и Ах в стихотворении Людмилы Зубковой?|В двух шагах|В двух метрах|В двух верстах|0
1784|Что накапливает конденсатор?|Тепло|Влагу|Заряд|2
1785|Какая из этих компаний находится в Германии?|Audi|Cadillac|Land Rover|0
1786|Кто был первым царём на Руси?|Иван IV (Грозный)|Иван III|Пётр I|0
1787|В каком году Россия дебютировала на конкурсе песни «Евровидение»?|1994|1996|1993|0
1788|Какая страна является родиной танца полька?|Польша|Венгрия|Чехия|2
1789|Каков официальный мировой рекорд по сборке кубика Рубика?|3,85 секунды|4,22 секунды|6,31 секунды|1
1790|Какая сборная заняла четвёртое место на чемпионате мира по футболу 2018 года?|Англия|Бельгия|Россия|0
1791|Как звали коня Дон Кихота?|Росинант|Буцефал|Санчо Панса|0
1792|Кто выиграл Чемпионат мира по футболу в 1998 году?|Франция|Испания|Бразилия|0
1793|Название какой азиатской реки в переводе с китайского означает «жёлтая река»?|Хуанхэ|Янцзы|Амур|0
1794|Как зовут дракона, который воспитал Нацу Драгнила в аниме-сериале «Хвост Феи»?|Грандина|Металликана|Игнил|2
1795|В США субъектов федерации 51. а в России на данный момент - именно столько.|84|72|50|0
1796|Кто изобрёл первую аналитическую вычислительную машину?|Стив Джобс|Чарлз Бэббидж|Алан Тьюринг|1
1797|Из скольких слогов традиционно состоит хайку?|23|17|27|1
1798|Как звали летучего муравья, питомца Лэнга, в фильме «Человек-муравей»?|Энтони|Энтип|Энтати|0
1799|Как звали Чингисхана на самом деле?|Есугей-багатур|Батый|Тэмуджин|2
1800|В каком году основан город Гусь-Хрустальный?|1756|1953|1856|0
1801|Какое слово не фигурировало в заклинании Буратино?|Крекс|Жмекс|Фекс|1
1802|Кто из этих правителей стучал ботинком по столу на заседании ООН?|Хрущёв|Берия|Мельников|0
1803|Как называется самая большая лягушка?|Веслоногая лягушка|Кубинская квакша|Лягушка-голиаф|2
1804|Когда началась Великая Отечественная война?|22 июня 1939 года|22 июня 1941 года|9 мая 1941 года|1
1805|Что такое «ватерзой»?|Трос, отмечающий ватерлинию|Бельгийская похлебка|Ирландский мятный ликер|1
1806|Кто написал Сонату для фортепиано номер 7?|Бах|Бетховен|Алфёров|1
1807|Какая из этих марок автомобилей НЕ является корейской?|Hyundai|Toyota|Kia|1
1808|В каком году Италия объединилась под предводительством Виктора Эммануила II?|1861|1847|1842|0
1809|Какой стране принадлежат Азорские острова?|Марокко|Португалии|Испании|1
1810|Какое отчество у поэта  Сергея Есенина?|Алексеевич|Николаевич|Александрович|2
1811|Что делают галлы в мультсериале «Астерикс и Обеликс» для того, чтобы стать сильными?|Читают заклинание|Пьют зелье|Закапывают кости|1
1812|Вступая во взрослый хоккей, Марио Лемье выбрал ЭТОТ НОМЕР, поскольку противопоставлял себя Уэйну Гретцки.|66|11|23|0
1813|Чему равна скорость распространения звука в воде?|3000 м/с|1500 м/с|500 м/с|1
1814|По какой теореме можно вычислить квадрат гипотенузы?|Теорема Пифагора|Теорема Виета|Теорема Паскаля|0
1815|Какая из перечисленных стран НЕ имеет выхода к морю?|Словения|Босния и Герцеговина|Македония|2
1816|Как называется пространство обитания одного биологического вида?|Ареал|Среда|Суша|0
1817|В каком году был построен Московский Кремль?|1495|1345|1576|0
1818|Как называется галактика, где находится планета Земля?|Веретено|Млечный Путь|Орбита|1
1819|В каком году состоялся Первый крестовый поход?|1096|1109|1081|0
1820|В каком году вступила на престол Екатерина II?|1679|1795|1762|2
1821|Собаки какой породы не лают?|Басенджи|Овчарка|Чихуахуа|0
1822|От немецкого слова с каким значением происходит русское слово «герб»?|Наследие|Дом|Гражданин|0
1823|Как раньше назывался город Калининград?|Инстербург|Кёнигсберг|Раушен|1
1824|Как звали главных героев сериала «Сверхъестественное»?|Дин и Сэм|Пинки и Брейн|Скотт и Стайлз|0
1825|В каком городе находится Мамаев курган?|Уфа|Волгоград|Санкт-Петербург|1
1826|Сколько подвигов, как принято считать, совершил Геракл?|3|15|12|2
1827|Что такое йодлинг?|Тирольское пение|Город у ацтеков|Препарат на основе йода|0
1828|Как звали вокалиста рок-группы Queen?|Дэвид Боуи|Элвис Пресли|Фредди Меркьюри|2
1829|Какая высота скульптуры «Родина-мать зовет»?|85 м|52 м|78 м|0
1830|Кто стал истинным альфой в сериале «Волчонок»?|Скотт МакКолл|Айзек Лейхи|Тео Рейкен|0
1831|Какое полное имя у Криштиану Роналду?|Cristiano Ronaldo dos Santos|Cristiano Ronaldo dos Santos Aveiro|Cristiano Ronaldo Averio|1
1832|Раствор какой соли НЕ даёт зелёную окраску?|Сульфат двухвалентной меди|Манганат калия|Сульфат трёхвалентного хрома|0
1833|В каком году был основан YouTube?|2007|2005|2002|1
1834|В каком году состоялась битва на реке Калке?|1456|1223|1480|1
1835|Наверняка все вы знаете о существовании царицы Клеопатры, о ее связи с Цезарем и Марком Антонием, а порядковый номер ее вспомните?|7|8|9|0
1836|В каком году Леонардо Ди Каприо получил примию «Оскар» в номинации «лучшая мужская роль»?|2014|2016|2015|1
1837|Сколько лет правил Александр l?|20 лет|24 года|24 года|1
1838|Чему равен радиус Земли?|7 400 км|6 350 км|6 300 км|2
1839|В какой части света находится Гибралтар?|Австралия|Европа|Азия|1
1840|Какая из египетских пирамид самая высокая?|Пирамида Хеопса|Пирамида Микерина|Пирамида Хефрена|0
1841|Какой сказочный герой носил пояс, на котором было написано: «Когда злой бываю, семерых убиваю»?|Хитрый сапожник|Весёлый молочник|Храбрый портной|2
1842|Кто написал произведение «Дети подземелья»?|Леонид Пантелеев|Николай Гоголь|Владимир Короленко|2
1843|В каком году в Российской Империи начали праздновать новый год 1 января?|1701|1700|1702|1
1844|Кто из героев комиксов НЕ является персонажем вселенной Marvel?|Доктор Стрэндж|Зимний солдат|Зелёный фонарь|2
1845|Кто такие мурены?|Птицы|Насекомые|Рыбы|2
1846|Кто выиграл первый чемпион мира по шахматам?|Вильгельм Стейниц|Хосе Рауль Капабланка|Эммануил Ласкер|0
1847|В какое озеро впадает 336 рек, но вытекает лишь одна?|Каспийское море|Онежское|Байкал|2
1848|Какого животное отсутствует в мультфильме «Маша и Медведь»?|Гималайский медведь|Барсук|Тигр|1
1849|Кто основал город Омск?|Пётр I|Иван Бухгольц|Иван Грозный|1
1850|Как звали прадеда Александра Сергеевича Пушкина?|Абрам Петрович|Исаак Моисеевич|Осип Эмильевич|0
1851|Когда существовал СССР?|30 декабря 1922 — 26 декабря 1991|21 февраля 1930 — 6 декабря 1992|26 декабря 1922 — 30 декабря 1991|0
1852|Какой из этих городов НЕ белорусский?|Липецк|Клецк|Солигорск|0
1853|У кого из этих актёров нет Оскара?|Гэри Олдмен|Эдди Редмэйн|Ричард Гир|2
1854|Кто открыл явление радиоактивности?|Антуан Анри Беккерель|Мария Склодовская-Кюри|Джозеф Джон Томсон|0
1855|Какая называлась первая игровая приставка в мире?|Magnavox Odyssey|Fairchild Channel F|Ping-o-Tronic|0
1856|К какому семейству относится ягода арбуз?|Розоцветные|Тыквенные|Бегониевые|1
1857|В какое время в Санкт-Петербурге каждый день стреляет орудие со стены Петропавловской крепости?|В 14 часов дня|В 12 часов дня|В 11 часов дня|1
1858|В каком году состоялась Тегеранская конференция с участием Сталина, Рузвельта и Черчилля?|1943|1947|1945|0
1859|В каком году взошёл на престол Александр III?|1885|1881|1873|1
1860|Какое из этих приложений создано для знакомств?|Slither.io|Badoo|Клевер|1
1861|Какой налог введён с 1993 года в Венеции?|На прохладительные напитки|На вёсла|На тень|2
1862|Как называют человека, у которого функционирование обеих рук развито одинаково?|Амбистома|Амбидекстр|Амбиверт|1
1863|Кто написал произведение «О чем плачут лошади»?|Фёдор Александрович Абрамов|Александр Сергеевич Пушкин|Евгений Иванович Носов|0
1864|За что Альберт Эйнштейн получил Нобелевскую премию?|За теорию относительности|За броуновское движение|За теорию фотоэффекта|2
1865|Какая политическая идеология установилась в Германии после прихода к власти Адольфа Гитлера?|Консерватизм|Нацизм|Фашизм|1
1866|Какая из этих футбольных сборных никогда НЕ выигрывала Чемпионат Европы?|Швеция|Греция|Дания|0
1867|Какие племена в основном населяли нынешнюю территорию Франции?|Финикийцы|Нумидийцы|Галлы|2
1868|Где были проведены Летние Олимпийские игры в 1936 году?|Париж|Москва|Берлин|2
1869|Как зовут сенбернара, героя популярного фильма?|Моцарт|Бетховен|Бах|1
1870|Как называется род птиц семейства попугаевых?|Агути|Улары|Ара|2
1871|"В полном названии эпизода ""Южного парка"" ""Тупое преступление Картмана"" присутствует ЭТО ЧИСЛО, хотя эпизод был уже вторым в четвертом сезоне. Создатели объясняли, что таким образом спародировали всех тех, кто буквально помешался на нем ранее."|2000|1882|1905|0
1872|Как называется вещество, определяющее твердость и прочность ствола дерева?|Лигнин|Камбий|Трахея|0
1873|В каком из этих клубов играл футболист Роберто Карлос?|Милан|Анжи|Барселона|1
1874|Кто является автором методики восстановления внешнего облика человека на основе скелетных остатков?|М. Герасимов|Г. Лебединская|Г. Дебец|0
1875|Кто стал чемпионом мира по кудо в 2005 году?|Керимов|Назаралиев|Казымов|0
1876|Какое из этих растений относится к семейству орхидные?|Ваниль|Гибискус|Ройбос|0
1877|Как называется угол между направлением на север и заданным направлением?|Вектор|Орт|Азимут|2
1878|Какая мышца в организме человека самая длинная?|Портняжная|Бицепс|Выпрямляющая позвоночник|0
1879|Как называют человека, который не любит других людей?|Филантроп|Мизантроп|Эготроп|1
1880|Столько хоккеистов от одной команды начинают матч.|6|8|3|0
1881|Какой из этих городов расположен НЕ на Волге?|Сызрань|Элиста|Казань|1
1882|В каком месяце празднует день рождения Криштиану Роналду?|Декабрь|Март|Февраль|2
1883|В каком возрасте Александр Карелин начал заниматься борьбой?|С 9 лет|С 13 лет|С 15 лет|1
1884|В каком возрасте скончался египетский фараон Тутанхамон?|25 лет|15 лет|18 лет|2
1885|Какой город является столицей Удмуртии?|Иваново|Ижевск|Иркутск|1
1886|Сколько кнопок CTRL [контрл] на стандартной клавиатуре.|2|9|4|0
1887|Какое самое популярное название улицы в России?|Ленина|Центральная|Северная|1
1888|Какое из этих морей имеет наименьшую солёность по сравнению с остальными?|Красное море|Средиземное море|Эгейское море|2
1889|Какому государству принадлежит остров Гренландия?|Дания|Исландия|Канада|0
1890|Какого цвета пот бегемота?|Желтый|Красный|Серый|1
1891|Где знакомятся Мастер и Маргарита?|В цветочном магазине|На улице|В трамвае|1
1892|Сколько зубов в норме должно быть у взрослого человека?|28-32|32-36|24-26|0
1893|ЭТО - общее название песен у некоторых тюркских народов.|Ыр|Ку|По|0
1894|Какая кличка была у Ивана Кожедуба в детстве?|Шутник|Лобан|Бедняк|1
1895|Название какой древнеиндийской философской школы в переводе с санскрита означает «первое исследование»?|Сансара|Миманса|Ньяя|1
1896|Из какого материала сделан кубок Чемпионата мира по футболу?|Медь|Золото|Цинк|1
1897|Какое из этих растений НЕ является голосеменным?|Ель|Ламинария|Лиственница|1
1898|Кто из этих людей создал теорию относительности?|Исаак Ньютон|Архимед|Альберт Эйнштейн|2
1899|Как зовут исполнителя, известного под сценическим псевдонимом Obladaet?|Тимур Бураго|Дмитрий Никитин|Назар Вотяков|2
1900|В каком году был запущен видеохостинг YouTube?|2001|2005|2007|1
1901|Как звали директора школы Хогвартс в серии книг «Гарри Поттер»?|Думбульдор|Дамблдор|Хагрид|1
1902|В каком фильме играла Мария Шукшина?|«Лиля навсегда»|«Похороните меня за плинтусом»|«Все умрут, а я останусь»|1
1903|Какая форма правления в Канаде?|Президентско-парламентская республика|Республика|Конституционная монархия|2
1904|Из чего состоит клеточная стенка растений?|Цитоплазмы|Целлюлоза|Хитин|1
1905|В каком году была Отечественная война с Францией?|1832|1863|1812|2
1906|Какая порода собак была выведена в Великобритании?|Босерон|Шелти|Пудель|1
1907|Какова высота женской волейбольной сетки?|2 м 24 см|2 м 10 см|2 м 43 см|0
1908|Как звали первую супругу Федора Карамазова из романа Достоевского «Братья Карамазовы»?|Софья Ивановна Ворохова|Аделаида Ивановна Миусова|Анна Григорьевна Сниткина|1
1909|Когда произошел взрыв на Чернобыльской АЭС?|26 апреля 1986|26 августа 1983|16 июня 1989|0
1910|Откуда родом были родители основателей Warner Brothers Production?|Англия|США|Российская Империя|2
1911|Сколько хромосом в половых клетках человека?|40|29|23|2
1912|"Изначально буква ""С"" ЭТОЙ аббревиатуре обозначала ""свитский""."|СВ|С9|CC|0
1913|Какой музыкальный знак означает повышение ноты на полтона?|Бемоль|Бекар|Диез|2
1914|Как называется человек, живущий в уединении и избегающий людей?|Анахорет|Мизантроп|Сибарит|0
1915|Длина волны зеленого цвета составляет именно столько нанометров.|555|611|550|0
1916|За правителя какой страны вышла замуж дочь Ярослава Мудрого Анна?|Норвегия|Франция|Венгрия|1
1917|Сколько раз, согласно кубинской стороне, покушались на Фиделя Кастро?|132|24|634|2
1918|В каком году родился Альберт Эйнштейн?|1904|1824|1879|2
1919|В каком году комета Галлея в последний раз проходила через перигелий?|1997|2003|1986|2
1920|После какой планеты от Солнца находится пояс астероидов?|Юпитер|Марс|Земля|1
1921|В каком городе, согласно книге Гиннесса, находится самая извилистая улица в мире?|Бангкок|Сан-Франциско|Шанхай|1
1922|Как звали русского полководца Суворова?|Михаил|Александр|Алексей|1
1923|Кто такой Тео Джеймс?|Актёр|Режиссёр|Певец|0
1924|Столицей какого государства является Оттава?|Индонезия|Латвия|Канада|2
1925|В каком году была образована самая старинная футбольная команда из ныне существующих?|1904|1854|1857|2
1926|Как называется высочайшая вершина Земли?|Эльбрус|Джомолунгма|Килиманджаро|1
1927|Какой персонаж в мультфильме «Смешарики» любит готовить?|Лосяш|Совунья|Нюша|1
1928|Как называется столица Австралии?|Мельбурн|Канберра|Сидней|1
1929|Кто сыграл Джеймса Бонда в первом  фильме бондианы?|Дэниел Крейг|Шон Коннери|Арнольд Шварценеггер|1
1930|Как в дореволюционной России называли рублёвую купюру?|Голубь|Канарейка|Синица|1
1931|Как называется постепенное увеличение силы звука в музыке?|Диминуэндо|Фуриозо|Крещендо|2
1932|Сколько государств расположено на территории Южной Америки?|9|12|7|1
1933|Кто играл главные роли в фильме «Пассажиры»?|Вера Фармига, Лиам Нисон|Дженнифер Энистон, Джейсон Судейкис|Дженнифер Лоуренс, Крис Прэтт|2
1934|Какому персонажу принадлежат слова «Служить бы рад, прислуживаться тошно»?|Александр Андреевич Чацкий|Павел Афанасьевич Фамусов|Алексей Степанович Молчалин|0
1935|Так называют бесстыковой путь на железной дороге?|Бархатный|Векторный|Ровный|0
1936|Кто написал книгу «Игра престолов»?|Эрих Мария Ремарк|Джордж Мартин|Микель Бауса|1
1937|Как называется самый старый футбольный клуб мира?| «Лацио»|«Шеффилд»| «Рекреативо»|1
1938|Что такое «адронный коллайдер»?|Вычислительная машина|Ускоритель заряженных частиц|Измеритель объёма воздуха|1
1939|Сколько звёзд на флаге США?|51|52|50|2
1940|Какой футболист получил Золотой мяч в 2017 году?|Роналду|Месси|Неймар|0
1941|Как звали мать Наполеона I?|Лаура Антонелли|Летиция Рамолино|Симона Каваллари|1
1942|На каком континенте находилась древняя цивилизация Мачу-Пикчу?|Евразия|Африка|Южная Америка|2
1943|Сколько всего крестражей было в книгах о Гарри Поттере?|9|7|12|1
1944|Какой химический элемент был впервые синтезирован НЕ в России?|Оганесон|Рутений|Менделевий|2
1945|Какое варенье нёс ёжик медвежонку в мультфильме «Ёжик в тумане»?|Можжевеловое|Малиновое|Земляничное|1
1946|Кто такой «клакёр»?|Человек, нанятый для аплодисментов|Чистильщик обуви|Фанат киберспорта|0
1947|Какой женщине впервые присуждена индивидуальная Нобелевская премия?|Мать Тереза|Берта фон Зутнер|Мария Склодовская-Кюри|1
1948|Где был открыт первый ресторан «Макдональдс»?|Сан-Бердино|Сан-Хосе|Сан-Франциско|0
1949|Кто из этих персонажей комиксов никогда не состоял в Лиге Справедливости?|Человек-ястреб|Соколиный Глаз|Сокол|2
1950|Какая игра прославила Ронни О’Салливана?|Снукер|Гольф|Теннис|0
1951|Сколько протонов содержится в ядре одного атома криптона?|28|36|74|1
1952|Через какую из этих стран проходит экватор?|Венесуэла|Кения|Камерун|1
1953|Какая среда в желудке человека?|Слабощелочная|Щелочная|Кислая|2
1954|В каком году была принята Всеобщая декларация прав человека?|1918|1950|1948|2
1955|Сколько лет персонажу мультсериала «Симпсоны» Лизе Симпсон?|8 лет|9 лет|7 лет|0
1956|Как называют легкоатлета, бегающего на длинные дистанции?|Средневик|Стайер|Спринтер|1
1957|Кем был создан первый в России паровой двигатель?|Вильгельм Рентген|Альберт Эйнштейн|Иван Ползунов|2
1958|"Буква ""и"" в старо- и церковнославянских азбуках называется ""иже"" (переводится как ""который"" или ""которые"") и является 10-й по счёту, а в кириллице имеет именно такое числовое значение."|8|4|2|0
1959|В чём измеряется электрическое сопротивление?|Джоуль|Ом|Ампер|1
1960|Согласно анекдоту 1 терапевт равен 1 048 576 мегапевтам. А скольким гигапевтам равен терапевт?|1024|36,6|66|0
1961|Именно ЭТОМУ равна сумма чисел в каждой строке, каждом столбце и на обеих диагоналях магического квадрата 4 на 4.|34|144|20|0
1962|"Герои британского писателя в итоге воспользовались строкой из песни Боба Дилана: ""Сколько путей должен каждый пройти?"". Так СКОЛЬКО ЖЕ?"|42|84|25|0
1963|На флаге какой страны НЕТ изображения орла?|Афганистан|Мексика|Албания|0
1964|В каком году родился поэт Александр Твардовский?|1928|1898|1910|2
1965|Как называют органы, утратившие своё основное значение в процессе эволюции?|Редуценты|Рудименты|Атавизмы|1
1966|Как называется место наибольшей остроты зрения в сетчатке глаза?|Желтое пятно|Желтое тело|Желтая точка|0
1967|Флаг какой страны в течение нескольких десятилетий был полностью белым?|Исландия|Франция|Украина|1
1968|Сколько субъектов входит в состав Российской Федерации?|85|89|64|0
1969|Чем является Тартар, находящийся под царством Аида?|Бездна|Вулкан|Океан|0
1970|У какой страны флаг нестандартной формы?|Канада|Мадагаскар|Непал|2
1971|Как называется знак альтерации, обозначает понижение ноты на полтона?|Бекар|Бемоль|Диез|1
1972|Кто НЕ откладывает яйца?|Утконос|Лесная ящерица|Варан|1
1973|Какой богине был посвящен месяц апрель?|Афродите|Афине|Ириде|0
1974|Сколько предшественников на посту президента было у Дональда Трампа?|45|41|44|2
1975|Какое жаргонное название у легендарной самоходной артиллерийской установки ИСУ-152?|«Зверобой»|«Зверомор»|«Зверолов»|0
1976|Что не является орехом?|Арахис|Кешью|Фисташки|0
1977|В скольких номинациях фильм «Титаник» получил «Оскара»?|13|8|11|2
1978|Какой мореплаватель дал название архипелагу Огненная Земля?|Фернан Магеллан|Иван Крузенштерн|Френсис Дрейк|0
1979|Какую страну переименовали в 2018 году?|Свазиленд|Никарагуа|Панама|0
1980|Сколько углов у трапеции?|3|4|2|1
1981|Как называлась усадьба, в которой родился Лев Николаевич Толстой?|Болдино|Ново-Огарёво|Ясная Поляна|2
1982|В каком году была битва на Курской Дуге?|1941|1943|1942|1
1983|В каком году Москва была впервые упомянута в летописях?|1215|1537|1147|2
1984|Какой танец придумал Сид Вишес в 1976 году?|Pogo|Siouxsie|Drink dance|0
1985|Знак какого из этих музыкальных ключей содержит точки?|Скрипичный|Басовый|Теноровый|1
1986|Родоначальником какой из этих техник в живописи стал Леонардо да Винчи?|Граттаж|Сфумато|Гризайль|1
1987|В каком году проходили зимние Олимпийские игры в России?|2014|2012|2010|0
1988|Как называется столица Республики Башкортостан?|Стерлитамак|Уфа|Казань|1
1989|Кто такой Лев Яшин?|Баскетболист|Футболист|Хоккеист|1
1990|Какая из этих культурных ценностей была утрачена в годы Второй мировой войны?|Янтарная комната|Пергамский алтарь|Клад Приама|0
1991|Какой цветок вырос на планете Маленького принца?|Роза|Георгин|Ромашка|0
1992|Чем является клубника?|Ягода|Орех|Овощ|0
1993|Как называлась лыковая обувь русских крестьян?|Ботинки|Лапти|Босоножки|1
1994|Откуда не советовал выходить Бродский в одном из своих стихотворений?|Из дома|Из круга|Из комнаты|2
1995|Сколько лет ждал своего хозяина пёс Хатико?|9|5|12|0
1996|Кто из писателей в середине 19 века был вице-губернатором Рязани?|Мельников-Печерский|Салтыков-Щедрин|Загоскин|1
1997|Кто, согласно известной фразе Ленина, должен научиться управлять государством?|Каждый учитель|Каждая кухарка|Каждый большевик|1
1998|Какая страна распалась в 2003 году?|Югославия|Чехословакия|СССР|0
1999|Как звали зооморфного славянского бога?|Семаргл|Велес|Стрибог|0
2000|Между какими странами протекает Тасманово море?|Австралия и Новая Зеландия|Вьетнам и Филиппины|Панама и Колумбия|0
2001|Где находится крупнейший центр по производству пищевой соды?|В Стерлитамаке|В Москве|В Новосибирске|0
2002|Как звали слугу главного героя из романа «Капитанская дочка»?|Савельич|Осип|Петрович|0
2003|Какой футбольный клуб стал победителем Лиги чемпионов УЕФА в 2012 году?|Челси|Бавария|Барселона|0
2004|Сколько зубов у тигра?|32|36|30|2
2005|Какой части тела не было у Эктора Кастро, лидера сборной Уругвая по футболу, победившей в первом чемпионате мира 1930 года?|Уха|Руки|Глаза|1
2006|В каком году родился Адольф Гитлер?|1889|1886|1899|0
2007|Сколько звезд на флаге Соединенных Штатов Америки?|55|50|47|1
2008|Какая из этих стран НЕ является княжеством?|Монако|Андорра|Люксембург|2
2009|Сборная какой страны выиграла Чемпионат Европы по футболу во Франции в 2016 году?|Англия|Бразилия|Португалия|2
2010|Какой город находится НЕ в Кыргызстане?|Бишкек|Токмок|Жаркент|2
2011|Чем известна деревня Жостово?|Миниатюра|Роспись по металлу|Гончарный промысел|1
2012|Какое из созвездий вы НЕ сможете увидеть в южном полушарии?|Телец|Лебедь|Цефей|2
2013|Как обозначается тональность до-диез?|E|Ges|Cis|2
2014|Какой город является столицей Тонги?|Нгерулмуд|Нукуалофа|Паликир|1
2015|Какой язык программирования существует?|Android|Amazon|Python|2
2016|Какая столица государства Гвинеи?|Габороне|Конакри|Уагадугу|1
2017|В каком году родился Николай Коперник?|1473|1516|1389|0
2018|Кто был Председателем Президиума Верховного Совета СССР в 1983-1984?|Юрий Владимирович Андропов|Леонид Ильич Брежнев|Василий Васильевич Кузнецов|0
2019|Кто из перечисленных животных относится к парнокопытным?|Лошадь|Зебра|Корова|2
2020|Симбиозом чего является лишайник?|Водоросли и мха|Гриба и водоросли|Мха и гриба|1
2021|У каких стран одинаковые флаги?|Швеция и Хорватия|Мексика и Италия|Индонезия и Монако|2
2022|Кто был 25-м президентом США?|Уильям Мак-Кинли|Дональд Трамп|Джон Кеннеди|0
2023|Как называется нотный знак, повышающий музыкальный звук на один полутон?|Бемоль|Бекар|Диез|2
2024|Кто из самок этих насекомых убивает самца при спаривании?|Таракан|Муравей|Богомол|2
2025|С какого века НЕ менялся флаг Дании?|17|15|13|2
2026|Какая пьеса А. В. Сухово-Кобылина А.В. была написана раньше остальных?|«Смерть Тарелкина»|«Свадьба Кречинского»|«Дело»|1
2027|В каком году футбольный клуб «Спартак-Алания» (Владикавказ) стал чемпионом России?|2001|1995|1998|1
2028|Когда произошло восстание Спартака?|В 509 году до нашей эры|В 49 году до нашей эры|В 73-71 годах до нашей эры|2
2029|Какой город является столицей Республики Казахстан?|Алматы|Караганда|Астана|2
2030|Кто убил на дуэли М. Ю. Лермонтова?|Н. Сатин|Н. Мартынов|П. Висковатов|1
2031|Какая из этих планет больше?|Нептун|Марс|Венера|0
2032|Для какого египетского фараона была построена самая большая пирамида?|Хеопс|Тутанхамон|Эхнатон|0
2033|Каков примерный возраст Вселенной?|13,8 миллиарда лет|13,2 миллиарда лет|14,2 миллиарда лет|0
2034|Как называются трущобы в городах Бразилии?|Фавелы|Гетто|Марииды|0
2035|Какая картина Анри Матисса провисела в Музее современного искусства Нью-Йорка вверх ногами 47 дней?|Музыка|Лодка|Танец|1
2036|В каком году родился Николай Васильевич Гоголь?|1827|1778|1809|2
2037|В каких органах образуются камни?|В желудке|В почках|Во рту|1
2038|Сколько букв в английском алфавите?|28|26|27|1
2039|Что собой представляет азиатский вид спорта сепактакрау?|Гандбол воздушным шаром|Волейбол ногами|Хоккей на роликах|1
2040|Как назывались испанские монеты XI века?|Лиры|Динеро|Франки|1
2041|Какие горы географически делят Европу и Азию?|Уральские горы|Апатиты|Алтайские горы|0
2042|Какой год принято считать годом рождения Интернета?|1977|1969|1962|1
2043|Как звали старика Хоттабыча из одноимённой повести-сказки?|Омар Юсуф|Гассан Абдуррахман|Сулейман|1
2044|В какой стране носят шапки из своих волос?|Намибия|Южный Судан|Египет|1
2045|Как называют дрессировщика собак?|Кинолог|Догхантер|Собаковед|0
2046|Какой из этих предметов является музыкальным инструментом?|Магнитофон|Миелофон|Металлофон|2
2047|В конце 80-х годов Pepsi выпускала бодрящий напиток с двойной дозой кофеина. В его название кроме слова Pepsi входят лишь ЭТИ две буквы.|АМ|Го|Еж|0
2048|На автомобиле какой марки разбился Виктор Цой?|«Жигули»|«УАЗ»|«Москвич»|2
2049|"Кинологические отряды часто называют ЭТИМИ цифрой и буквой из-за созвучия со английским словом ""собачий""."|К9|E8|C2|0
2050|Сколько дней описывается в романе Джеймса Джойса «Улисс»?|7|1|365|1
2051|Какое настоящее имя Кончиты Вурст?|Николас Пежэл|Мэтью Рангер|Том Нойвирт|2
2052|В каком году была принята Конституция РФ?|1993|1991|1996|0
2053|Кто из учёных сформулировал закон инерции в физике?|Исаак Ньютон|Нильс Бор|Альберт Эйнштейн|0
2054|Где проходил чемпионат мира по футболу 2006 года?|Италия|Германия|Франция|1
2055|Как звали героя, одолевшего Медузу Горгону?|Одиссей|Тесей|Персей|2
2056|Как называется линия, проходящая через отрезок под углом 90 градусов?|Катет|Перпендикуляр|Параллель|1
2057|В каком из советских фильмов впервые был продемонстрирован автомат АК-47?|«На войне как на войне»|«В бой идут одни старики»|«Максим Перепелица»|2
2058|Какое любимое блюдо инопланетян было в сериале «Альф»?|Кошка|Пицца|Запеченный гусь|0
2059|К какому семейству музыкальных инструментов относится саксофон?|Ударные|Медные духовые|Деревянные духовые|2
2060|Кто главный злодей фильма «Мстители: Война бесконечности»?|Думсдэй|Танос|Альтрон|1
2061|Какая страна охватывает максимальное количество часовых поясов?|Франция|США|Россия|0
2062|Концентрация какого газа в атмосфере Земли больше?|Кислород|Азот|Озон|1
2063|Как называются бразильские трущобы?|Панареллы|Каравеллы|Фавелы|2
2064|Кто впервые объявил Россию республикой?|В. И. Ленин|А. Ф. Керенский|Л. Д. Троцкий|1
2065|Где в феврале 1945 года прошла встреча Сталина, Рузвельта и Черчилля?|Ленинград|Ялта|Тегеран|1
2066|Какая линия соединяет вершину треугольника с серединой противоположной стороны?|Высота|Медиана|Биссектриса|1
2067|Кто из этих музыкантов является рекордсменом по количеству разбитых гитар?|Курт Кобейн|Джимми Хендрикс|Мэттью Беллами|2
